id,name,property_type,room_type,bathrooms,bedrooms,beds,price
1.056648655830625e+18,TOP Authentique et Vue Panoramique,Entire rental unit,Entire home/apt,1.0,4.0,4.0,420.0
1.0570197067134989e+18,Chambre avec splendide vue,Private room in bed and breakfast,Private room,1.0,1.0,1.0,41.0
1.0571184392376067e+18,Centre Ville Villars-sur-Ollon,Entire rental unit,Entire home/apt,1.0,2.0,0.0,162.0
1.0574128256852114e+18,"Appartement Neuf ""Le Petit Lu""",Entire rental unit,Entire home/apt,1.0,1.0,2.0,120.0
1.0576969430787282e+18,Appartement dans Maison de Maître,Entire place,Entire home/apt,1.0,3.0,0.0,150.0
1.0578849963499611e+18,Belle Chambre dans un appartement,Private room in rental unit,Private room,1.0,1.0,2.0,38.0
1.0584653430361958e+18,Charm and Calm in Grandvaux - Lavaux (Courtyard),Entire rental unit,Entire home/apt,1.0,2.0,3.0,184.0
1.0586104852414029e+18,Villa chaleureuse,Entire villa,Entire home/apt,2.0,4.0,5.0,195.0
1.0587344175917014e+18,"Logement entier F2, vue sur lac, calme",Entire rental unit,Entire home/apt,1.0,1.0,0.0,76.0
1.0593054702775256e+18,1 jolie chambre à Lausanne,Private room in rental unit,Private room,1.5,1.0,1.0,53.0
1.0593146979487365e+18,1 jolie chambre à Lausanne,Private room in rental unit,Private room,1.5,1.0,1.0,54.0
1.0593210549784905e+18,Appartement spacieux à Lausanne,Entire rental unit,Entire home/apt,1.0,2.0,2.0,150.0
1.059515918607915e+18,Studio en station (Préalpes vaudoises),Entire rental unit,Entire home/apt,1.0,1.0,5.0,150.0
1.0600834277329839e+18,Appartement lumineux à Lutry,Entire rental unit,Entire home/apt,1.125,2.0,3.25,126.0
1.0601397164918685e+18,Villa Panorama (region Montreux),Entire home,Entire home/apt,1.125,4.0,3.25,126.0
1.0601600067546417e+18,Chalet aux Pléiades - l'Alisier,Entire home,Entire home/apt,1.0,3.0,3.0,150.0
1.0608149814059043e+18,Chambre or 3 with local advice,Private room in rental unit,Private room,1.0,3.0,4.0,150.0
1.0613575187467956e+18,Wonderful studio in Lausanne - 554000,Entire rental unit,Entire home/apt,1.5,2.5,1.5,166.5
1.0613656670276824e+18,Appartement Villa Maria 2,Entire rental unit,Entire home/apt,2.0,3.0,0.0,206.0
1.0614695899110445e+18,Chalet avec vue sur le Lac Léman et le Mont Blanc,Entire chalet,Entire home/apt,1.0,3.0,3.0,110.0
1.0615130594446296e+18,Lausanne Beaulieu : Art de vivre,Entire rental unit,Entire home/apt,1.0,1.0,0.0,100.0
1.0615379249563091e+18,Petites Maraiches 132.256,Entire rental unit,Entire home/apt,1.5,2.5,1.5,166.5
1.0616810673159717e+18,"Lausanne, Grand appartement avec terrasse",Entire rental unit,Entire home/apt,1.5,3.0,1.5,166.5
1.061711357930519e+18,logement alliant luxe/modernité.,Entire rental unit,Entire home/apt,2.0,2.0,3.0,250.0
1.0620950337785761e+18,Luxurious Apartment 8 min from Gstaad,Entire rental unit,Entire home/apt,2.5,3.0,4.0,1500.0
1.0622139415974072e+18,A 2 pas du centre proche de tout,Entire rental unit,Entire home/apt,1.0,3.0,4.0,195.0
1.0628392841097724e+18,"Grand appartement "" Bellevue"". Vue sur le Léman",Entire rental unit,Entire home/apt,1.5,3.0,3.0,180.0
1.0629538569556183e+18,Studio 1823 - Tannay,Entire rental unit,Entire home/apt,1.0,1.0,1.0,111.0
1.0629691959635498e+18,Appartement in a villa.,Entire rental unit,Entire home/apt,1.0,1.0,1.0,95.0
1.0630004697197772e+18,Sweet & central apartment,Entire rental unit,Entire home/apt,1.5,1.0,2.0,101.0
1.0630293406289823e+18,"Appartement de 4,5 pièces",Entire rental unit,Entire home/apt,2.0,3.0,5.0,292.0
1.0635460540687104e+18,Stunning views of Swiss Alps.,Entire rental unit,Entire home/apt,1.0,1.0,2.0,111.0
1.0637341289811412e+18,Appartement Villars Sur Ollon,Entire rental unit,Entire home/apt,1.0,2.0,4.0,140.0
1.0640979054163594e+18,Cosy Apartment in Villeneuve/Montreux nearby,Entire rental unit,Entire home/apt,1.0,1.0,0.0,73.0
1.0643360218273864e+18,Furnished House - Bogis-Bossey,Entire home,Entire home/apt,3.5,5.0,7.0,490.0
1.064380026972149e+18,Chalet Le Murier,Entire chalet,Entire home/apt,4.0,4.0,9.0,387.0
1.0645832222765197e+18,Appartement vue sur le Jura,Entire rental unit,Entire home/apt,3.25,2.0,5.0,453.75
1.0649582254234278e+18,3-bedroom apartment available for a long-term,Entire rental unit,Entire home/apt,2.0,3.0,0.0,188.0
1.0649787635608957e+18,Gorgeous lakeside home !,Entire home,Entire home/apt,3.5,3.0,4.0,750.0
1.0651169408132374e+18,Studio 5 places close to the LAKE,Entire rental unit,Entire home/apt,1.0,0.0,3.0,190.0
1.0651734599725759e+18,"Appartement Villars, superbe vue, proche de pistes",Entire rental unit,Entire home/apt,1.0,1.0,3.0,130.0
1.0652733035807395e+18,Chambre d'hôte fonctionnelle,Private room in bed and breakfast,Private room,1.875,1.75,2.5,314.5
1.0657143206541641e+18,Brand NEW 2Bedroom 2Bathrooms Parking next to EHL,Entire rental unit,Entire home/apt,1.625,2.0,3.75,339.0
1.0657328275860787e+18,Une belle maison au bord du lac,Entire home,Entire home/apt,3.0,6.0,6.0,1000.0
1.0657775130139393e+18,App 2-3 p Vue sur le lac,Entire rental unit,Entire home/apt,1.0,1.0,2.0,67.0
1.0658094828598829e+18,Suite en rez 52m2 - charme fou,Entire rental unit,Entire home/apt,1.0,2.0,2.0,119.0
1.0658435280680408e+18,Roc d’Orsay F Leysin,Entire rental unit,Entire home/apt,1.5,2.0,5.0,170.0
1.0659555065473655e+18,Chaleureux 50m2 pour 4 p - Parking - Balcon - EHL,Entire rental unit,Entire home/apt,1.0,1.0,2.0,121.0
1.0659769511007919e+18,Flat for four. 2 double beds. Near hiking & city,Entire rental unit,Entire home/apt,1.0,1.0,2.0,141.0
1.066388534701406e+18,Appartement cosy avec 2 chambres,Entire rental unit,Entire home/apt,1.5,2.0,2.0,140.0
1.0664283083519848e+18,Appt vieux bois style Châlet,Entire rental unit,Entire home/apt,1.5,2.0,3.0,250.0
1.0664624277321432e+18,Chambre d'hôte,Private room in bed and breakfast,Private room,1.0,1.0,1.0,160.0
1.0674079735095652e+18,Chambre dans appartement cosy,Private room in rental unit,Private room,1.0,1.0,1.0,51.0
1.0680954412966737e+18,Grand chalet en pleine nature,Entire chalet,Entire home/apt,6.0,7.0,18.0,600.0
1.0681921761746857e+18,Flat in the heart of Lausanne!,Entire rental unit,Entire home/apt,1.0,1.0,1.0,96.0
1.0684669813668987e+18,Le Mont Blanc 14 by Interhome,Entire rental unit,Entire home/apt,2.0,3.0,5.0,250.0
1.0686968946263108e+18,Bel appartement design,Entire rental unit,Entire home/apt,1.5,2.0,4.0,132.0
1.0693713604258889e+18,Charmant appartement lausannois,Entire rental unit,Entire home/apt,1.0,1.0,0.0,78.0
1.0695527241821426e+18,"Chalet Rosebay, spectacular view",Entire home,Entire home/apt,3.0,4.0,8.0,600.0
1.0700847572697522e+18,Cosy studio a Lausanne center,Entire rental unit,Entire home/apt,1.0,1.0,1.0,101.0
1.0707246222353947e+18,"Pully/Lausanne, Lake view",Entire rental unit,Entire home/apt,0.875,4.0,2.0,138.0
1.070827670480959e+18,Appartement près de Montreux vue sur Lac Léman,Entire rental unit,Entire home/apt,0.0,1.0,3.0,150.0
1.0708483296531227e+18,Central avec vue imprenable !,Entire rental unit,Entire home/apt,1.0,2.0,2.0,100.0
1.0709254165369615e+18,Charmant appartement design & cosy avec vue!,Entire rental unit,Entire home/apt,1.5,1.0,2.0,242.0
1.0710196467154015e+18,Charmant studio meublé à Ouchy,Entire rental unit,Entire home/apt,0.875,1.0,2.0,138.0
1.0710726040189878e+18,Chambre d'hôtes à louer,Private room in rental unit,Private room,1.0,1.0,1.0,60.0
1.07154620363048e+18,Super Rooftop & lake view home owners account,Entire home,Entire home/apt,2.5,4.0,4.0,347.0
1.0716202736425263e+18,Villa de maître avec parc et bassin -  Vue lac,Entire villa,Entire home/apt,2.5,2.0,2.0,280.0
1.0718514189480178e+18,Studio meublé et équipé avec entrée indépendante,Entire rental unit,Entire home/apt,1.0,1.0,1.0,85.0
1.0721776697904756e+18,Asters B1,Entire chalet,Entire home/apt,2.0,2.0,5.0,208.0
1.0730050949827215e+18,Chambre proche nature,Private room in bed and breakfast,Private room,2.5,1.0,1.0,41.0
1.0732936332714591e+18,Piccolo seminterrato privato,Entire condo,Entire home/apt,1.0,1.0,2.0,75.0
1.0736166314185492e+18,Cosy room with mountain view,Private room in rental unit,Private room,1.0,1.0,2.0,139.0
1.0738227328213499e+18,Loft entre lac et montagne-location longue durée,Entire home,Entire home/apt,1.5,2.0,4.0,120.0
1.0738598060275227e+18,Magnifique 2 pièces avec vue,Entire rental unit,Entire home/apt,1.0,2.0,3.0,110.0
1.0740207486903657e+18,Superieur Room / Tralala Hotel,Room in hotel,Private room,1.125,1.0,3.75,151.0
1.0740253564433944e+18,Superieur Deluxe Room/Balcony,Room in hotel,Private room,1.125,1.0,3.75,151.0
1.0740299095461079e+18,Junior Suite / Tralala Hotel,Room in hotel,Private room,1.125,1.0,3.75,151.0
1.0740336145446355e+18,Suite with Private Rooftop,Room in hotel,Private room,1.125,1.0,3.75,151.0
1.0743979335465829e+18,Verzasses,Entire chalet,Entire home/apt,1.0,4.0,6.0,235.0
1.0745193865423028e+18,Charmant et spacieux chalet moderne,Entire home,Entire home/apt,2.0,3.0,5.0,334.0
1.0751097618262097e+18,Studio apartment in Lausanne - 454000,Entire rental unit,Entire home/apt,1.75,1.5,1.25,244.25
1.0751659927422881e+18,Livingwithemotionkom in Montreux (Glion),Entire rental unit,Entire home/apt,2.0,1.0,2.0,500.0
1.0753307792749189e+18,Magnificent rooftop flat - 735000,Entire rental unit,Entire home/apt,2.0,2.0,2.0,172.0
1.0753372783583245e+18,Spacious one-bedroom apartment - 246000,Entire rental unit,Entire home/apt,1.0,1.0,1.0,148.0
1.0753428954643713e+18,Bright 2-bedroom apartment - 146000,Entire rental unit,Entire home/apt,1.75,2.0,1.25,244.25
1.0754244718198892e+18,Très jolie appartement à Chateau d'Oex,Entire rental unit,Entire home/apt,1.75,2.0,1.25,244.25
1.0754470129059771e+18,House Near EPFL/Unil/Renens Gare,Entire home,Entire home/apt,2.0,2.0,0.0,157.0
1.0758420633253485e+18,Cosy student room - 855000,Private room in rental unit,Private room,1.75,1.0,1.75,161.25
1.0758831956808218e+18,Student room in co-living - 465000,Private room in rental unit,Private room,1.75,1.0,1.75,161.25
1.075892833295622e+18,Cosy room - 665000,Private room in rental unit,Private room,1.75,1.0,1.75,161.25
1.0759661453331567e+18,Student room in Co-living - 475000,Private room in rental unit,Private room,1.75,1.0,1.75,161.25
1.0759769945655176e+18,Student room in Co-living - 675000,Private room in rental unit,Private room,1.75,1.0,2.0,154.5
1.075981285401736e+18,Cosy student room - 775000,Private room in rental unit,Private room,1.75,1.0,2.0,154.5
1.0761347062917084e+18,Villa à 30 min aéroport Genève,Entire home,Entire home/apt,2.0,3.0,4.0,168.0
1.0766008845533687e+18,Le Genin,Entire chalet,Entire home/apt,1.0,1.0,2.0,177.0
1.0766086574186044e+18,漂亮的两室一厅公寓,Entire rental unit,Entire home/apt,2.0,2.0,2.0,116.0
1.0766388438076014e+18,Big Room Lausanne Train Station,Private room in rental unit,Private room,1.0,1.0,2.0,65.0
1.0767484953671649e+18,"Luxurious room, countryside home",Private room in home,Private room,1.0,1.0,1.0,130.0
1.0768174814519731e+18,Arbalete Studio in Chalet,Entire rental unit,Entire home/apt,1.0,0.0,0.0,138.0
1.0768784978871896e+18,Arbalete Apartment in Chalet,Entire rental unit,Entire home/apt,2.0,3.0,6.0,368.0
1.0773102890406341e+18,Panoramic Splendor: Luxurious 5-Bedroom Chalet,Entire home,Entire home/apt,3.0,5.0,8.0,5000.0
1.0774200618354317e+18,Urban Jungle Mini Studio,Entire rental unit,Entire home/apt,1.0,1.0,1.0,126.0
1.0780046980351823e+18,Central cozy appart for 4 p.,Entire rental unit,Entire home/apt,1.0,1.0,3.0,75.0
1.07829371225219e+18,Cosy room near Lausanne,Private room in rental unit,Private room,1.5,1.75,2.0,96.75
1.078773633548719e+18,6 pers - parking free - vue lac - T2,Entire rental unit,Entire home/apt,2.0,2.0,2.0,113.0
