listing_url,name,property_type,host_is_superhost,host_acceptance_rate,neighbourhood_cleansed,neighbourhood_group_cleansed,price
https://www.airbnb.com/rooms/47280445,3 piece à Chardonne avec vue sur le lac Léman.,Entire rental unit,False,86.0,Chardonne,Riviera-Pays-d'Enhaut,573.75
https://www.airbnb.com/rooms/47283571,Alpina Gardens Boutique in Villars-Gryon,Room in aparthotel,False,0.0,Gryon,Aigle,134.5
https://www.airbnb.com/rooms/47285650,Chambre dans magnifique appartement,Private room in rental unit,False,0.0,Denges,Morges,90.0
https://www.airbnb.com/rooms/47304826,"Chalet Apt Villars-Gryon, 2BdR, 2min from ski lift",Entire loft,False,0.0,Gryon,Aigle,107.75
https://www.airbnb.com/rooms/47308815,"2 chambres, 1-5 pers, PLEIN-SUD Yverdon-les-Bains",Private room in bed and breakfast,False,100.0,Yverdon-les-Bains,Jura-Nord vaudois,161.0
https://www.airbnb.com/rooms/47310245,Charming studio footsteps from the Jura,Entire guest suite,True,100.0,Longirod,Nyon,65.0
https://www.airbnb.com/rooms/47327783,Chambre à louer dans joli appartement de 85m2,Private room in rental unit,False,20.0,Nyon,Nyon,60.0
https://www.airbnb.com/rooms/47399031,Bel appartement à Villars-Sur-Ollon,Entire condo,False,83.75,Ollon,Aigle,252.0
https://www.airbnb.com/rooms/47413033,Jolie chambre & salle Bain dans un chalet typique.,Private room in bed and breakfast,False,100.0,Château-d'Oex,Riviera-Pays-d'Enhaut,222.5
https://www.airbnb.com/rooms/47416138,Cozy getaway apartment(2pc),Entire rental unit,True,97.0,Leysin,Aigle,95.0
https://www.airbnb.com/rooms/47426651,Chambre agréable avec balcon,Private room in bed and breakfast,False,0.0,Yverdon-les-Bains,Jura-Nord vaudois,52.0
https://www.airbnb.com/rooms/47438688,Charmant Studio,Entire loft,False,99.25,Le Chenit,Jura-Nord vaudois,158.5
https://www.airbnb.com/rooms/47479305,Jolie chambre & salle bain dans un chalet rustique,Private room in bed and breakfast,False,100.0,Château-d'Oex,Riviera-Pays-d'Enhaut,222.5
https://www.airbnb.com/rooms/47525065,Appartement 2.5  calme entièrement équipé,Entire condo,True,91.0,Leysin,Aigle,48.0
https://www.airbnb.com/rooms/47573489,"chambre vue lac proche du bus/train, pour fille",Private room in rental unit,False,49.0,Montreux,Riviera-Pays-d'Enhaut,37.0
https://www.airbnb.com/rooms/47594145,New renovation! Studio apartment near lake & EPFL.,Entire rental unit,False,56.0,Saint-Sulpice (Vaud),Ouest lausannois,210.0
https://www.airbnb.com/rooms/47712404,Logement Radieux,Private room in rental unit,False,47.0,Lausanne,Lausanne,72.0
https://www.airbnb.com/rooms/47717639,Chambre dans une colocation  proche de lausann,Private room in rental unit,False,54.5,Renens (Vaud),Ouest lausannois,142.5
https://www.airbnb.com/rooms/47766166,"Family chalet with stunning view, terrace & garden",Entire chalet,False,60.0,Ollon,Aigle,310.0
https://www.airbnb.com/rooms/47775383,La Maison du Bonheur,Private room in home,False,61.0,Saint-Saphorin (Lavaux),Lavaux-Oron,70.0
https://www.airbnb.com/rooms/47822971,Pour prendre la clé des champs à la montagne,Entire rental unit,False,20.0,Château-d'Oex,Riviera-Pays-d'Enhaut,93.0
https://www.airbnb.com/rooms/47825208,Magnifique petit cocon au cœur des Alpes,Entire rental unit,False,73.0,Gryon,Aigle,69.0
https://www.airbnb.com/rooms/47856382,3 room with big South terrasse at end of ski slope,Entire rental unit,False,50.0,Ollon,Aigle,170.0
https://www.airbnb.com/rooms/47904236,Appartement Chasselas avec vue sur le Lac Léman,Entire rental unit,True,100.0,Essertines-sur-Rolle,Nyon,130.0
https://www.airbnb.com/rooms/47904470,Appartement Divico au Domaine de Bellevue,Entire rental unit,True,100.0,Mont-sur-Rolle,Nyon,120.0
https://www.airbnb.com/rooms/47912440,Casetta in parco naturale,Entire guest suite,False,100.0,Chavannes-des-Bois,Nyon,85.0
https://www.airbnb.com/rooms/47917051,Très beau 6 pièces au centre de Lausanne,Entire condo,False,75.0,Lausanne,Lausanne,130.0
https://www.airbnb.com/rooms/47935121,Modern apartment / Stunning view,Entire rental unit,False,100.0,Lausanne,Lausanne,160.0
https://www.airbnb.com/rooms/47937188,Unique Chalet with stunning view in Les Diablerets,Entire chalet,False,50.0,Ormont-Dessus,Aigle,425.0
https://www.airbnb.com/rooms/47949548,One Bedroom in Modern Apartment,Private room in rental unit,False,94.0,Corseaux,Riviera-Pays-d'Enhaut,193.5
https://www.airbnb.com/rooms/47951275,Appartement panoramique cosy,Entire condo,False,100.0,Leysin,Aigle,124.0
https://www.airbnb.com/rooms/47970843,Le calme de la campagne aux portes de la ville,Entire rental unit,False,100.0,Cheseaux-sur-Lausanne,Lausanne,520.0
https://www.airbnb.com/rooms/48005925,6 Bed Dorm Mixed,Shared room in bed and breakfast,False,100.0,Nyon,Nyon,47.0
https://www.airbnb.com/rooms/48046725,Appartement Pied Des Pistes | Accès Piscine Sauna,Entire condo,False,0.0,Ollon,Aigle,184.0
https://www.airbnb.com/rooms/48046739,Penthouse Avec  Cheminée | Au Pied des Pistes,Entire condo,False,0.0,Ollon,Aigle,184.0
https://www.airbnb.com/rooms/48046753,Appartement Exécutif- Terrasses |  Pied des Pistes,Entire condo,False,0.0,Ollon,Aigle,184.0
https://www.airbnb.com/rooms/48046776,Suite Cosy Avec Vue |Au Pied des Pistes + Terrasse,Room in boutique hotel,False,0.0,Ollon,Aigle,184.0
https://www.airbnb.com/rooms/48046788,Chambre Au Pied des Pistes | Terrasse Privée,Room in boutique hotel,False,0.0,Ollon,Aigle,184.0
https://www.airbnb.com/rooms/48046802,Suite  Vue Montagne | Parking + Près des Pistes,Room in boutique hotel,False,0.0,Ollon,Aigle,184.0
https://www.airbnb.com/rooms/48046821,Suite avec Terrasse Privée | Au Pied des Pistes,Room in boutique hotel,False,0.0,Ollon,Aigle,184.0
https://www.airbnb.com/rooms/48046835,Suite avec Vue Parc | Au Pied des Pistes + Wi-Fi,Room in boutique hotel,False,0.0,Ollon,Aigle,184.0
https://www.airbnb.com/rooms/48046851,Penthouse Au Pied des Pistes |Terrasses + Cheminée,Entire condo,False,0.0,Ollon,Aigle,184.0
https://www.airbnb.com/rooms/48046872,Penthouse Au Pied des Pistes | Terrasses + Sauna,Entire condo,False,0.0,Ollon,Aigle,184.0
https://www.airbnb.com/rooms/48046883,Appartement Au Pied des Pistes | Cheminée + Wi-Fi,Entire condo,False,0.0,Ollon,Aigle,184.0
https://www.airbnb.com/rooms/48046907,Suite Chaleureuse avec Terrasse Privée,Entire condo,False,0.0,Ollon,Aigle,184.0
https://www.airbnb.com/rooms/48046921,Appartement Duplex - 3 Terrasses | Pied des Pistes,Entire condo,False,0.0,Ollon,Aigle,184.0
https://www.airbnb.com/rooms/48065353,Magnifique studio au centre ville de Lausanne,Entire rental unit,True,96.0,Lausanne,Lausanne,91.0
https://www.airbnb.com/rooms/48070605,New Furnished ★Queen Bed★ Train+Bus ◊ Full Kitchen,Private room in rental unit,False,94.0,Renens (Vaud),Ouest lausannois,134.0
https://www.airbnb.com/rooms/48073962,"Beautiful flat, modern highly equipped",Entire condo,False,94.0,Renens (Vaud),Ouest lausannois,175.0
https://www.airbnb.com/rooms/48076760,Charming apartment with breathtaking view,Entire condo,True,97.0,Leysin,Aigle,85.0
https://www.airbnb.com/rooms/48088510,FACILE à VIVRE à La Tour-de-Peilz,Private room in home,False,92.0,La Tour-de-Peilz,Riviera-Pays-d'Enhaut,50.0
https://www.airbnb.com/rooms/48089991,Beautiful & Calm 2BR Balcony for 4ppl & Parking,Entire condo,False,77.0,Epalinges,Lausanne,266.0
https://www.airbnb.com/rooms/48104407,Magnifique appartement avec balcon en plein centre,Entire rental unit,False,79.0,Renens (Vaud),Ouest lausannois,581.5
https://www.airbnb.com/rooms/48121471,Appartement  Le Torrent,Entire condo,False,69.0,Ormont-Dessus,Aigle,228.5
https://www.airbnb.com/rooms/48158446,"Chambre dans villa à Lausanne/près EHL, Nestlé",Private room in villa,True,90.0,Lausanne,Lausanne,45.0
https://www.airbnb.com/rooms/48168854,Chambre dans un appartement décoré avec goût,Private room in rental unit,False,89.25,Duillier,Nyon,162.25
https://www.airbnb.com/rooms/48182077,"Chambre dans quartier paisible, proche de la gare",Private room in rental unit,False,79.25,Vevey,Riviera-Pays-d'Enhaut,1377.5
https://www.airbnb.com/rooms/48204606,"Joli chalet, magnifique vue",Entire chalet,False,69.0,Gryon,Aigle,250.0
https://www.airbnb.com/rooms/48224538,Terra Nostra B04,Entire rental unit,False,94.0,Gryon,Aigle,278.0
https://www.airbnb.com/rooms/48260841,"Grandson, suite/entrée privée, 2 ou 3 personnes",Private room in guest suite,True,92.0,Grandson,Jura-Nord vaudois,74.0
https://www.airbnb.com/rooms/48312374,Appartement 6 pers Ski in/out à l'Alpe des Chaux,Entire rental unit,False,89.0,Gryon,Aigle,188.75
https://www.airbnb.com/rooms/48336829,Luxury and historical prestigious chalet,Entire chalet,False,100.0,Leysin,Aigle,1800.0
https://www.airbnb.com/rooms/48387992,Modern house in wine yards of Lavaux - view lake,Entire villa,False,100.0,Lutry,Lavaux-Oron,114.5
https://www.airbnb.com/rooms/48407180,"sonnige Ferienwohnung in Rougemont, Saanenland",Entire rental unit,True,78.0,Rougemont,Riviera-Pays-d'Enhaut,110.0
https://www.airbnb.com/rooms/48434354,Geniessen Sie die Ferien im Saanenland bei Gstaad,Entire rental unit,True,78.0,Rougemont,Riviera-Pays-d'Enhaut,145.0
https://www.airbnb.com/rooms/48541220,Outstanding Property With Spectacular Views,Entire rental unit,True,97.0,Chardonne,Riviera-Pays-d'Enhaut,709.0
https://www.airbnb.com/rooms/48621079,"Daphné Heights by Villars Comfort, central",Entire rental unit,False,76.0,Ollon,Aigle,420.0
https://www.airbnb.com/rooms/48706029,Maison a 2 minutes du Château Chillon,Entire home,False,77.75,Veytaux,Riviera-Pays-d'Enhaut,250.0
https://www.airbnb.com/rooms/48822066,Forum Luxury Apartment Lake View,Entire rental unit,False,100.0,Montreux,Riviera-Pays-d'Enhaut,411.0
https://www.airbnb.com/rooms/48847626,Charmante maison à Lavey,Entire home,False,81.25,Bex,Aigle,57.75
